what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.core",1417705669149
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1417705669149
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1417705669149
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1417705669149
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1417705669164
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1417705669180
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1417705669195
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1417705669195
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1417705669195
os,sysinfo,,,"win32",1417705669195
arch,sysinfo,,,"x86_64",1417705669195
ws,sysinfo,,,"win32",1417705669195
locale,sysinfo,,,"en_US",1417705669195
processors,sysinfo,,,"4",1417705669195
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1417705669195
java.runtime.version,sysinfo,,,"1.8.0_20-b26",1417705669195
java.specification.name,sysinfo,,,"Java Platform API Specification",1417705669195
java.specification.vendor,sysinfo,,,"Oracle Corporation",1417705669195
java.specification.version,sysinfo,,,"1.8",1417705669195
java.vendor,sysinfo,,,"Oracle Corporation",1417705669195
java.version,sysinfo,,,"1.8.0_20",1417705669195
java.vm.info,sysinfo,,,"mixed mode",1417705669195
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1417705669195
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1417705669195
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1417705669195
java.vm.specification.version,sysinfo,,,"1.8",1417705669195
java.vm.vendor,sysinfo,,,"Oracle Corporation",1417705669195
java.vm.version,sysinfo,,,"25.20-b23",1417705669195
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417705674987
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417705699715
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417705735575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417705736820
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417705748224
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1417705849014
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1417705851784
