what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417716657953
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417716658423
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1417716659250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417716660094
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417716660941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417716662491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417716709343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417716743090
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417716743097
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417716788260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417716790044
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417716796846
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417716797907
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417716798395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417716827358
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417716829423
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417716832984
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417716836496
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1417716837787
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1417716837825
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417716859051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417716860623
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417716864208
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417716889616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417716891078
