id,cost,score
Alabama,2.73,1608
Alaska,5.29,1495
Arizona,2.15,1551
Arkansas,3,1697
California,2.79,1505
Colorado,2.66,1721
Connecticut,3.31,1532
Washington DC,3.83,1400
Delaware,3.78,1400
Florida,2.08,1457
Georgia,2.57,1452
Hawaii,2.64,1453
Idaho,2.06,1763
Illinois,2.88,1807
Indiana,2.73,1470
Iowa,3.23,1763
Kansas,3.14,1752
Kentucky,2.66,1741
Louisiana,2.74,1655
Maine,2.23,1553
Maryland,3.32,1483
Massachusetts,2.94,1380
Michigan,3.47,1782
Minnesota,2.91,1780
Mississippi,2.53,1673
Missouri,2.53,1773
Montana,2.7,1595
Nebraska,3.16,1734
Nevada,2.04,1454
New Hampshire,3.08,1567
New Jersey,3.88,1521
New Mexico,3.29,1626
New York,3.72,1463
North Carolina,2.88,1479
North Dakota,3.43,1799
Ohio,2.79,1635
Oklahoma,2.51,1689
Oregon,2.82,1539
Pennsylvania,2.87,1480
Rhode Island,2.91,1468
South Carolina,2.23,1436
South Dakota,2.63,1760
Tennessee,2.15,1709
Texas,3.27,1437
Utah,2.93,1684
Vermont,4,1540
Virginia,2.82,1528
Washington,2.8,1537
West Virginia,3.05,1513
Wisconsin,3.3,1771
Wyoming,4.33,1727
