x,id
2.73,Alabama
5.29,Alaska
2.15,Arizona
3,Arkansas
2.79,California
2.66,Colorado
3.31,Connecticut
3.83,Washington DC
3.78,Delaware
2.08,Florida
2.57,Georgia
2.64,Hawaii
2.06,Idaho
2.88,Illinois
2.73,Indiana
3.23,Iowa
3.14,Kansas
2.66,Kentucky
2.74,Louisiana
2.23,Maine
3.32,Maryland
2.94,Massachusetts
3.47,Michigan
2.91,Minnesota
2.53,Mississippi
2.53,Missouri
2.7,Montana
3.16,Nebraska
2.04,Nevada
3.08,New Hampshire
3.88,New Jersey
3.29,New Mexico
3.72,New York
2.88,North Carolina
3.43,North Dakota
2.79,Ohio
2.51,Oklahoma
2.82,Oregon
2.87,Pennsylvania
2.91,Rhode Island
2.23,South Carolina
2.63,South Dakota
2.15,Tennessee
3.27,Texas
2.93,Utah
4,Vermont
2.82,Virginia
2.8,Washington
3.05,West Virginia
3.3,Wisconsin
4.33,Wyoming
